Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,201,201,201,201
maximum value,-0.05499,-0.01422,0.21653,0
minimum value,-0.11312,-0.06597,0.12333,0
0.000000,-0.05549,-0.02703,0.18570,0
0.100000,-0.06971,-0.04013,0.18549,0
0.200000,-0.06996,-0.02721,0.18562,0
0.300000,-0.05524,-0.03995,0.18557,0
0.400000,-0.05549,-0.02703,0.18570,0
0.500000,-0.07002,-0.04006,0.15445,0
0.600000,-0.06996,-0.02721,0.18562,0
0.700000,-0.05524,-0.03995,0.18557,0
0.800000,-0.05524,-0.03995,0.18557,0
0.900000,-0.05524,-0.03995,0.18557,0
1.000000,-0.05524,-0.03995,0.18557,0
1.100000,-0.06996,-0.02721,0.18562,0
1.200000,-0.05555,-0.03987,0.15452,0
1.300000,-0.06971,-0.04013,0.18549,0
1.400000,-0.05524,-0.03995,0.18557,0
1.500000,-0.07002,-0.04006,0.15445,0
1.600000,-0.07028,-0.02714,0.15458,0
1.700000,-0.05524,-0.03995,0.18557,0
1.800000,-0.06971,-0.04013,0.18549,0
1.900000,-0.07002,-0.04006,0.15445,0
2.000000,-0.07002,-0.04006,0.15445,0
2.100000,-0.05524,-0.03995,0.18557,0
2.200000,-0.05524,-0.03995,0.18557,0
2.300000,-0.05549,-0.02703,0.18570,0
2.400000,-0.06971,-0.04013,0.18549,0
2.500000,-0.08418,-0.04032,0.18541,0
2.600000,-0.07034,-0.03999,0.12340,0
2.700000,-0.05499,-0.05287,0.18543,0
2.800000,-0.05581,-0.02695,0.15465,0
2.900000,-0.06971,-0.04013,0.18549,0
3.000000,-0.07002,-0.04006,0.15445,0
3.100000,-0.06971,-0.04013,0.18549,0
3.200000,-0.06971,-0.04013,0.18549,0
3.300000,-0.05555,-0.03987,0.15452,0
3.400000,-0.05524,-0.03995,0.18557,0
3.500000,-0.06996,-0.02721,0.18562,0
3.600000,-0.05524,-0.03995,0.18557,0
3.700000,-0.06996,-0.02721,0.18562,0
3.800000,-0.06971,-0.04013,0.18549,0
3.900000,-0.07028,-0.02714,0.15458,0
4.000000,-0.07002,-0.04006,0.15445,0
4.100000,-0.07053,-0.01422,0.15471,0
4.200000,-0.08449,-0.04025,0.15437,0
4.300000,-0.07028,-0.02714,0.15458,0
4.400000,-0.06996,-0.02721,0.18562,0
4.500000,-0.08475,-0.02733,0.15450,0
