Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,290,290,290,290
maximum value,0.06897,0.03637,1.11910,0
minimum value,-0.00363,-0.01557,1.02567,0
0.000000,0.01099,-0.00258,1.08761,0
0.100000,0.02561,-0.00239,1.08769,0
0.200000,0.01156,-0.01557,1.11855,0
0.300000,0.01099,-0.00258,1.08761,0
0.400000,0.02561,-0.00239,1.08769,0
0.500000,0.02586,-0.01531,1.08755,0
0.600000,0.02593,-0.00246,1.11876,0
0.700000,0.01156,-0.01557,1.11855,0
0.800000,0.02593,-0.00246,1.11876,0
0.900000,0.02561,-0.00239,1.08769,0
1.000000,0.01099,-0.00258,1.08761,0
1.100000,0.02567,0.01046,1.11889,0
1.200000,0.02561,-0.00239,1.08769,0
1.300000,0.02567,0.01046,1.11889,0
1.400000,0.02511,0.02345,1.08795,0
1.500000,0.02536,0.01053,1.08782,0
1.600000,0.01156,-0.01557,1.11855,0
1.700000,0.01074,0.01034,1.08774,0
1.800000,0.02593,-0.00246,1.11876,0
1.900000,0.01074,0.01034,1.08774,0
2.000000,0.02593,-0.00246,1.11876,0
2.100000,-0.00331,-0.00284,1.11861,0
2.200000,0.01074,0.01034,1.08774,0
2.300000,0.01074,0.01034,1.08774,0
2.400000,0.02567,0.01046,1.11889,0
2.500000,0.02536,0.01053,1.08782,0
2.600000,0.02561,-0.00239,1.08769,0
2.700000,0.01099,-0.00258,1.08761,0
2.800000,0.01131,-0.00265,1.11869,0
2.900000,0.02530,-0.00231,1.05661,0
3.000000,0.02536,0.01053,1.08782,0
3.100000,0.01099,-0.00258,1.08761,0
3.200000,0.01074,0.01034,1.08774,0
3.300000,0.01074,0.01034,1.08774,0
3.400000,0.02536,0.01053,1.08782,0
3.500000,0.02536,0.01053,1.08782,0
3.600000,0.02530,-0.00231,1.05661,0
3.700000,0.01099,-0.00258,1.08761,0
3.800000,0.01043,0.01042,1.05667,0
3.900000,0.01124,-0.01550,1.08748,0
4.000000,0.01099,-0.00258,1.08761,0
4.100000,-0.00363,-0.00276,1.08753,0
4.200000,0.02505,0.01061,1.05674,0
4.300000,0.01074,0.01034,1.08774,0
4.400000,0.02536,0.01053,1.08782,0
4.500000,0.02567,0.01046,1.11889,0
4.600000,0.01074,0.01034,1.08774,0
4.700000,0.01074,0.01034,1.08774,0
4.800000,0.02505,0.01061,1.05674,0
