Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,441,441,441,441
maximum value,0.03412,0.02522,0.49727,1
minimum value,-0.02539,-0.03986,0.31075,0
0.000000,0.00320,0.01211,0.34195,0
0.100000,0.00289,0.01218,0.31088,0
0.200000,0.01810,0.01222,0.37310,0
0.300000,0.01810,0.01222,0.37310,0
0.400000,0.01803,-0.00062,0.34190,0
0.500000,0.03261,-0.00043,0.34197,0
0.600000,0.01835,-0.00070,0.37297,0
0.700000,0.01803,-0.00062,0.34190,0
0.800000,0.00314,-0.00074,0.31075,0
0.900000,0.00320,0.01211,0.34195,0
1.000000,0.00320,0.01211,0.34195,0
1.100000,0.00345,-0.00081,0.34182,0
1.200000,0.00326,0.02496,0.37316,0
1.300000,0.01753,0.02522,0.34216,0
1.400000,0.00295,0.02503,0.34208,0
1.500000,-0.01163,0.02484,0.34201,0
1.600000,0.01753,0.02522,0.34216,0
1.700000,-0.01113,-0.00100,0.34174,0
1.800000,0.00320,0.01211,0.34195,0
1.900000,0.00345,-0.00081,0.34182,0
2.000000,0.01778,0.01230,0.34203,0
2.100000,0.00314,-0.00074,0.31075,0
2.200000,0.00352,0.01204,0.37303,0
2.300000,0.00345,-0.00081,0.34182,0
2.400000,-0.01138,0.01192,0.34188,0
2.500000,0.00345,-0.00081,0.34182,0
2.600000,0.00320,0.01211,0.34195,0
2.700000,-0.01138,0.01192,0.34188,0
2.800000,-0.01113,-0.00100,0.34174,0
2.900000,0.00289,0.01218,0.31088,0
3.000000,0.00314,-0.00074,0.31075,0
3.100000,0.00320,0.01211,0.34195,0
3.200000,0.00345,-0.00081,0.34182,0
3.300000,0.00320,0.01211,0.34195,0
3.400000,-0.01138,0.01192,0.34188,0
3.500000,-0.01138,0.01192,0.34188,0
3.600000,0.00320,0.01211,0.34195,0
3.700000,-0.02539,-0.00126,0.37274,0
3.800000,-0.01081,-0.00107,0.37282,0
3.900000,-0.01138,0.01192,0.34188,0
4.000000,-0.01113,-0.00100,0.34174,0
4.100000,0.00352,0.01204,0.37303,0
4.200000,0.00320,0.01211,0.34195,0
4.300000,-0.01106,0.01185,0.37295,0
4.400000,0.00326,0.02496,0.37316,0
4.500000,0.00295,0.02503,0.34208,0
4.600000,0.00352,0.01204,0.37303,0
4.700000,0.00352,0.01204,0.37303,0
4.800000,0.00408,-0.00096,0.40397,0
