Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,292,292,292,292
maximum value,0.00451,0.19173,0.77851,2
minimum value,-0.05488,0.14005,0.65392,0
0.000000,-0.01038,0.15316,0.71622,0
0.100000,-0.01063,0.16608,0.71636,0
0.200000,-0.03986,0.15285,0.68500,0
0.300000,-0.02496,0.15297,0.71615,0
0.400000,-0.01038,0.15316,0.71622,0
0.500000,-0.02521,0.16589,0.71628,0
0.600000,-0.01063,0.16608,0.71636,0
0.700000,-0.02521,0.16589,0.71628,0
0.800000,-0.02465,0.15289,0.74722,0
0.900000,-0.02496,0.15297,0.71615,0
1.000000,-0.02521,0.16589,0.71628,0
1.100000,-0.02496,0.15297,0.71615,0
1.200000,-0.02521,0.16589,0.71628,0
1.300000,-0.02521,0.16589,0.71628,0
1.400000,-0.02521,0.16589,0.71628,0
1.500000,-0.03979,0.16570,0.71620,0
1.600000,-0.02521,0.16589,0.71628,0
1.700000,-0.03954,0.15278,0.71607,0
1.800000,-0.01032,0.16600,0.74743,0
1.900000,-0.02490,0.16581,0.74736,0
2.000000,-0.03979,0.16570,0.71620,0
2.100000,-0.02490,0.16581,0.74736,0
2.200000,-0.02496,0.15297,0.71615,0
2.300000,-0.02528,0.15304,0.68507,0
2.400000,-0.02471,0.14005,0.71602,0
2.500000,-0.02496,0.15297,0.71615,0
2.600000,-0.01063,0.16608,0.71636,0
2.700000,-0.02521,0.16589,0.71628,0
2.800000,-0.02521,0.16589,0.71628,0
2.900000,-0.02521,0.16589,0.71628,0
3.000000,-0.02553,0.16596,0.68521,0
3.100000,-0.02521,0.16589,0.71628,0
3.200000,-0.02496,0.15297,0.71615,0
3.300000,-0.02521,0.16589,0.71628,0
3.400000,-0.02547,0.17881,0.71641,0
3.500000,-0.01095,0.16615,0.68528,0
3.600000,-0.02521,0.16589,0.71628,1
3.700000,-0.02547,0.17881,0.71641,1
3.800000,-0.02521,0.16589,0.71628,1
3.900000,-0.02515,0.17873,0.74749,1
4.000000,-0.02521,0.16589,0.71628,1
4.100000,-0.03979,0.16570,0.71620,1
4.200000,-0.02578,0.17888,0.68534,1
4.300000,-0.02578,0.17888,0.68534,1
4.400000,-0.02521,0.16589,0.71628,1
4.500000,-0.02578,0.17888,0.68534,1
4.600000,-0.02578,0.17888,0.68534,1
4.700000,-0.02578,0.17888,0.68534,1
