Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,354,354,354,354
maximum value,0.01851,0.20520,0.74864,1
minimum value,-0.04060,0.14008,0.59243,0
0.000000,-0.01123,0.16630,0.65485,0
0.100000,-0.01123,0.16630,0.65485,0
0.200000,0.00357,0.15357,0.65479,0
0.300000,-0.01073,0.14045,0.65459,0
0.400000,-0.01123,0.16630,0.65485,0
0.500000,-0.01130,0.15345,0.62361,0
0.600000,-0.02529,0.14026,0.65451,0
0.700000,-0.01161,0.15353,0.59251,0
0.800000,-0.01073,0.14045,0.65459,0
0.900000,-0.01098,0.15338,0.65472,0
1.000000,-0.01123,0.16630,0.65485,0
1.100000,-0.01092,0.16623,0.68596,0
1.200000,-0.02579,0.16612,0.65477,0
1.300000,-0.02579,0.16612,0.65477,0
1.400000,-0.04035,0.16593,0.65470,0
1.500000,-0.01098,0.15338,0.65472,0
1.600000,0.00301,0.16657,0.62382,0
1.700000,-0.02554,0.15319,0.65464,0
1.800000,-0.01130,0.15345,0.62361,0
1.900000,-0.01130,0.15345,0.62361,0
2.000000,-0.02554,0.15319,0.65464,0
2.100000,-0.02554,0.15319,0.65464,0
2.200000,-0.02554,0.15319,0.65464,0
2.300000,-0.01123,0.16630,0.65485,0
2.400000,-0.01130,0.15345,0.62361,0
2.500000,-0.02579,0.16612,0.65477,0
2.600000,-0.02579,0.16612,0.65477,0
2.700000,-0.02579,0.16612,0.65477,0
2.800000,-0.01130,0.15345,0.62361,0
2.900000,-0.02554,0.15319,0.65464,0
3.000000,-0.01155,0.16638,0.62374,0
3.100000,-0.02579,0.16612,0.65477,0
3.200000,-0.02579,0.16612,0.65477,0
3.300000,-0.02554,0.15319,0.65464,0
3.400000,-0.02579,0.16612,0.65477,0
3.500000,-0.04009,0.15300,0.65457,0
3.600000,-0.02579,0.16612,0.65477,0
3.700000,-0.02579,0.16612,0.65477,0
3.800000,-0.02554,0.15319,0.65464,0
3.900000,-0.02610,0.16619,0.62367,0
4.000000,-0.02579,0.16612,0.65477,0
4.100000,-0.04009,0.15300,0.65457,0
4.200000,-0.02554,0.15319,0.65464,0
4.300000,-0.04009,0.15300,0.65457,0
4.400000,-0.04009,0.15300,0.65457,0
4.500000,-0.03984,0.14008,0.65443,0
4.600000,-0.04035,0.16593,0.65470,0
4.700000,-0.02554,0.15319,0.65464,0
