Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,1704,1704,1704,1704
maximum value,0.00395,0.08915,0.49797,2
minimum value,-0.05618,-0.05268,0.15475,0
0.000000,-0.01194,-0.03939,0.18597,0
0.100000,-0.01163,-0.03946,0.21705,0
0.200000,-0.04110,-0.03977,0.18582,0
0.300000,-0.02621,-0.03965,0.21697,0
0.400000,-0.02614,-0.02680,0.24818,0
0.500000,-0.02621,-0.03965,0.21697,0
0.600000,-0.02621,-0.03965,0.21697,0
0.700000,-0.04079,-0.03984,0.21690,0
0.800000,-0.02671,-0.01381,0.21724,0
0.900000,-0.04110,-0.03977,0.18582,0
1.000000,-0.04104,-0.02692,0.21703,0
1.100000,-0.04047,-0.03991,0.24797,0
1.200000,-0.02621,-0.03965,0.21697,0
1.300000,-0.04079,-0.03984,0.21690,0
1.400000,-0.02621,-0.03965,0.21697,0
1.500000,-0.05562,-0.02711,0.21695,0
1.600000,-0.04104,-0.02692,0.21703,0
1.700000,-0.01163,-0.03946,0.21705,0
1.800000,-0.02621,-0.03965,0.21697,0
1.900000,-0.05562,-0.02711,0.21695,0
2.000000,-0.04079,-0.03984,0.21690,0
2.100000,-0.02646,-0.02673,0.21711,0
2.200000,-0.02677,-0.02666,0.18603,0
2.300000,-0.02677,-0.02666,0.18603,0
2.400000,-0.04085,-0.05268,0.18569,0
2.500000,-0.02652,-0.03958,0.18590,0
2.600000,-0.02677,-0.02666,0.18603,0
2.700000,-0.01163,-0.03946,0.21705,0
2.800000,-0.02627,-0.05250,0.18577,0
2.900000,-0.04079,-0.03984,0.21690,0
3.000000,-0.04079,-0.03984,0.21690,0
3.100000,-0.02646,-0.02673,0.21711,0
3.200000,-0.04110,-0.03977,0.18582,0
3.300000,-0.02646,-0.02673,0.21711,0
3.400000,-0.04104,-0.02692,0.21703,0
3.500000,-0.02646,-0.02673,0.21711,0
3.600000,-0.02677,-0.02666,0.18603,0
3.700000,-0.02677,-0.02666,0.18603,0
3.800000,-0.04110,-0.03977,0.18582,0
3.900000,-0.02677,-0.02666,0.18603,0
4.000000,-0.04079,-0.03984,0.21690,0
4.100000,-0.04104,-0.02692,0.21703,0
4.200000,-0.02646,-0.02673,0.21711,0
4.300000,-0.04085,-0.05268,0.18569,0
4.400000,-0.04135,-0.02685,0.18595,0
4.500000,-0.02652,-0.03958,0.18590,0
