Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,317,317,317,317
maximum value,-0.11369,0.01034,0.24783,0
minimum value,-0.15844,-0.05408,0.15421,0
0.000000,-0.12852,-0.02805,0.21657,0
0.100000,-0.14253,-0.04123,0.24744,0
0.200000,-0.11419,-0.01494,0.21678,0
0.300000,-0.12846,-0.01520,0.24778,0
0.400000,-0.12846,-0.01520,0.24778,0
0.500000,-0.14335,-0.01532,0.21663,0
0.600000,-0.14360,-0.00240,0.21676,0
0.700000,-0.14335,-0.01532,0.21663,0
0.800000,-0.14367,-0.01524,0.18555,0
0.900000,-0.14310,-0.02824,0.21649,0
1.000000,-0.12846,-0.01520,0.24778,0
1.100000,-0.14304,-0.01539,0.24770,0
1.200000,-0.14310,-0.02824,0.21649,0
1.300000,-0.14335,-0.01532,0.21663,0
1.400000,-0.14367,-0.01524,0.18555,0
1.500000,-0.14335,-0.01532,0.21663,0
1.600000,-0.15793,-0.01550,0.21655,0
1.700000,-0.14360,-0.00240,0.21676,0
1.800000,-0.14360,-0.00240,0.21676,0
1.900000,-0.14335,-0.01532,0.21663,0
2.000000,-0.14279,-0.02831,0.24757,0
2.100000,-0.14335,-0.01532,0.21663,0
2.200000,-0.14335,-0.01532,0.21663,0
2.300000,-0.12877,-0.01513,0.21670,0
2.400000,-0.14304,-0.01539,0.24770,0
2.500000,-0.14304,-0.01539,0.24770,0
2.600000,-0.14310,-0.02824,0.21649,0
2.700000,-0.15793,-0.01550,0.21655,0
2.800000,-0.14367,-0.01524,0.18555,0
2.900000,-0.14360,-0.00240,0.21676,0
3.000000,-0.15793,-0.01550,0.21655,0
3.100000,-0.15793,-0.01550,0.21655,0
3.200000,-0.15787,-0.00266,0.24776,0
3.300000,-0.15844,0.01034,0.21681,0
3.400000,-0.14360,-0.00240,0.21676,0
3.500000,-0.14329,-0.00247,0.24783,0
3.600000,-0.15818,-0.00258,0.21668,0
3.700000,-0.15825,-0.01543,0.18548,0
3.800000,-0.14335,-0.01532,0.21663,0
3.900000,-0.15793,-0.01550,0.21655,0
4.000000,-0.15793,-0.01550,0.21655,0
4.100000,-0.14392,-0.00232,0.18568,0
4.200000,-0.15737,-0.02850,0.24749,0
4.300000,-0.14310,-0.02824,0.21649,0
4.400000,-0.15793,-0.01550,0.21655,0
4.500000,-0.12877,-0.01513,0.21670,0
