Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,139,139,139,139
maximum value,-0.08613,0.02413,0.12378,0
minimum value,-0.14376,-0.01489,0.06148,0
0.000000,-0.11507,0.01121,0.09266,0
0.100000,-0.11450,-0.00179,0.12357,0
0.200000,-0.11482,-0.00171,0.09253,0
0.300000,-0.11507,0.01121,0.09266,0
0.400000,-0.11482,-0.00171,0.09253,0
0.500000,-0.11482,-0.00171,0.09253,0
0.600000,-0.11475,0.01113,0.12370,0
0.700000,-0.11532,0.02413,0.09279,0
0.800000,-0.11450,-0.00179,0.12357,0
0.900000,-0.11507,0.01121,0.09266,0
1.000000,-0.11507,0.01121,0.09266,0
1.100000,-0.11538,0.01128,0.06161,0
1.200000,-0.11532,0.02413,0.09279,0
1.300000,-0.11507,0.01121,0.09266,0
1.400000,-0.10060,0.01139,0.09273,0
1.500000,-0.11507,0.01121,0.09266,0
1.600000,-0.12954,0.01102,0.09258,0
1.700000,-0.10060,0.01139,0.09273,0
1.800000,-0.11507,0.01121,0.09266,0
1.900000,-0.11482,-0.00171,0.09253,0
2.000000,-0.11538,0.01128,0.06161,0
2.100000,-0.11507,0.01121,0.09266,0
2.200000,-0.11507,0.01121,0.09266,0
2.300000,-0.11507,0.01121,0.09266,0
2.400000,-0.12954,0.01102,0.09258,0
2.500000,-0.11507,0.01121,0.09266,0
2.600000,-0.10060,0.01139,0.09273,0
2.700000,-0.11507,0.01121,0.09266,0
2.800000,-0.11482,-0.00171,0.09253,0
2.900000,-0.11507,0.01121,0.09266,0
3.000000,-0.11507,0.01121,0.09266,0
3.100000,-0.11507,0.01121,0.09266,0
3.200000,-0.11507,0.01121,0.09266,0
3.300000,-0.11507,0.01121,0.09266,0
3.400000,-0.12954,0.01102,0.09258,0
3.500000,-0.12954,0.01102,0.09258,0
3.600000,-0.12929,-0.00190,0.09245,0
3.700000,-0.11507,0.01121,0.09266,0
3.800000,-0.11482,-0.00171,0.09253,0
3.900000,-0.11482,-0.00171,0.09253,0
4.000000,-0.11482,-0.00171,0.09253,0
4.100000,-0.11482,-0.00171,0.09253,0
4.200000,-0.12929,-0.00190,0.09245,0
4.300000,-0.12954,0.01102,0.09258,0
4.400000,-0.12903,-0.01482,0.09232,0
4.500000,-0.11513,-0.00164,0.06148,0
4.600000,-0.11482,-0.00171,0.09253,0
