Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,167,167,167,167
maximum value,0.06539,0.01194,0.71508,0
minimum value,0.02121,-0.01435,0.62172,0
0.000000,0.03590,0.01168,0.68393,0
0.100000,0.03558,0.01175,0.65285,0
0.200000,0.03527,0.01182,0.62178,0
0.300000,0.03558,0.01175,0.65285,0
0.400000,0.03590,0.01168,0.68393,0
0.500000,0.03615,-0.00124,0.68379,0
0.600000,0.02153,-0.00143,0.68372,0
0.700000,0.02178,-0.01435,0.68359,0
0.800000,0.03558,0.01175,0.65285,0
0.900000,0.03615,-0.00124,0.68379,0
1.000000,0.02128,0.01149,0.68385,0
1.100000,0.02153,-0.00143,0.68372,0
1.200000,0.02121,-0.00136,0.65264,0
1.300000,0.03615,-0.00124,0.68379,0
1.400000,0.03583,-0.00117,0.65272,0
1.500000,0.03583,-0.00117,0.65272,0
1.600000,0.03615,-0.00124,0.68379,0
1.700000,0.02128,0.01149,0.68385,0
1.800000,0.03615,-0.00124,0.68379,0
1.900000,0.03615,-0.00124,0.68379,0
2.000000,0.03615,-0.00124,0.68379,0
2.100000,0.03615,-0.00124,0.68379,0
2.200000,0.03615,-0.00124,0.68379,0
2.300000,0.03621,0.01160,0.71500,0
2.400000,0.02153,-0.00143,0.68372,0
2.500000,0.03590,0.01168,0.68393,0
2.600000,0.03590,0.01168,0.68393,0
2.700000,0.03615,-0.00124,0.68379,0
2.800000,0.03590,0.01168,0.68393,0
2.900000,0.03590,0.01168,0.68393,0
3.000000,0.03590,0.01168,0.68393,0
3.100000,0.03615,-0.00124,0.68379,0
3.200000,0.03590,0.01168,0.68393,0
3.300000,0.05077,-0.00105,0.68387,0
3.400000,0.05052,0.01187,0.68400,0
3.500000,0.03615,-0.00124,0.68379,0
3.600000,0.03640,-0.01416,0.68366,0
3.700000,0.03640,-0.01416,0.68366,0
3.800000,0.05052,0.01187,0.68400,0
3.900000,0.05077,-0.00105,0.68387,0
4.000000,0.03646,-0.00132,0.71487,0
4.100000,0.05077,-0.00105,0.68387,0
4.200000,0.05052,0.01187,0.68400,0
4.300000,0.03615,-0.00124,0.68379,0
4.400000,0.03615,-0.00124,0.68379,0
4.500000,0.03615,-0.00124,0.68379,0
4.600000,0.03590,0.01168,0.68393,0
4.700000,0.03615,-0.00124,0.68379,0
4.800000,0.05052,0.01187,0.68400,0
