Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,160,160,160,160
maximum value,0.02940,0.14172,0.28099,0
minimum value,-0.01465,0.08973,0.18764,0
0.000000,-0.00001,0.12861,0.24992,0
0.100000,0.00024,0.11569,0.24979,0
0.200000,0.00024,0.11569,0.24979,0
0.300000,0.00081,0.10270,0.28073,0
0.400000,-0.01408,0.10258,0.24958,0
0.500000,0.00050,0.10277,0.24965,0
0.600000,0.00024,0.11569,0.24979,0
0.700000,0.00018,0.10284,0.21858,0
0.800000,0.01482,0.11588,0.24986,0
0.900000,0.01508,0.10296,0.24973,0
1.000000,0.01508,0.10296,0.24973,0
1.100000,0.00024,0.11569,0.24979,0
1.200000,-0.01408,0.10258,0.24958,0
1.300000,0.01482,0.11588,0.24986,0
1.400000,0.00075,0.08985,0.24952,0
1.500000,0.01482,0.11588,0.24986,0
1.600000,0.01457,0.12880,0.24999,0
1.700000,0.01482,0.11588,0.24986,0
1.800000,0.00050,0.10277,0.24965,0
1.900000,0.01482,0.11588,0.24986,0
2.000000,0.00024,0.11569,0.24979,0
2.100000,-0.01408,0.10258,0.24958,0
2.200000,0.00024,0.11569,0.24979,0
2.300000,0.00018,0.10284,0.21858,0
2.400000,0.01508,0.10296,0.24973,0
2.500000,0.01476,0.10303,0.21866,0
2.600000,0.00050,0.10277,0.24965,0
2.700000,0.01508,0.10296,0.24973,0
2.800000,0.00050,0.10277,0.24965,0
2.900000,0.01476,0.10303,0.21866,0
3.000000,0.00018,0.10284,0.21858,0
3.100000,0.01482,0.11588,0.24986,0
3.200000,0.00081,0.10270,0.28073,0
3.300000,0.00024,0.11569,0.24979,0
3.400000,0.00106,0.08978,0.28060,0
3.500000,0.00024,0.11569,0.24979,0
3.600000,0.01514,0.11580,0.28094,0
3.700000,0.01508,0.10296,0.24973,0
3.800000,0.00050,0.10277,0.24965,0
3.900000,0.00024,0.11569,0.24979,0
4.000000,-0.00007,0.11576,0.21871,0
4.100000,0.00031,0.12853,0.28099,0
4.200000,0.00050,0.10277,0.24965,0
4.300000,-0.00007,0.11576,0.21871,0
4.400000,0.00024,0.11569,0.24979,0
4.500000,-0.01408,0.10258,0.24958,0
4.600000,0.01482,0.11588,0.24986,0
4.700000,-0.01434,0.11550,0.24971,0
4.800000,-0.01434,0.11550,0.24971,0
4.900000,0.00024,0.11569,0.24979,0
