Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,656,656,656,656
maximum value,0.00507,0.30764,1.05956,3
minimum value,-0.05407,0.24282,0.96567,0
0.000000,-0.01014,0.26884,0.96601,0
0.100000,-0.02440,0.26858,0.99701,0
0.200000,-0.02440,0.26858,0.99701,0
0.300000,-0.00957,0.25585,0.99695,0
0.400000,-0.00982,0.26877,0.99709,0
0.500000,-0.03873,0.25547,0.99680,0
0.600000,-0.02472,0.26866,0.96593,0
0.700000,-0.02440,0.26858,0.99701,0
0.800000,-0.00989,0.25592,0.96588,0
0.900000,-0.00957,0.25585,0.99695,0
1.000000,-0.03930,0.26847,0.96586,0
1.100000,-0.02440,0.26858,0.99701,0
1.200000,-0.02472,0.26866,0.96593,0
1.300000,-0.02440,0.26858,0.99701,0
1.400000,-0.02440,0.26858,0.99701,0
1.500000,-0.02440,0.26858,0.99701,0
1.600000,-0.01014,0.26884,0.96601,0
1.700000,-0.01014,0.26884,0.96601,0
1.800000,-0.00957,0.25585,0.99695,0
1.900000,-0.01014,0.26884,0.96601,0
2.000000,-0.01014,0.26884,0.96601,0
2.100000,-0.00982,0.26877,0.99709,0
2.200000,-0.00951,0.26870,1.02816,0
2.300000,-0.00982,0.26877,0.99709,0
2.400000,-0.01014,0.26884,0.96601,0
2.500000,-0.00982,0.26877,0.99709,0
2.600000,-0.02472,0.26866,0.96593,0
2.700000,-0.00982,0.26877,0.99709,0
2.800000,0.00444,0.26903,0.96609,0
2.900000,-0.02440,0.26858,0.99701,0
3.000000,-0.00982,0.26877,0.99709,0
3.100000,-0.00982,0.26877,0.99709,0
3.200000,-0.02415,0.25566,0.99688,0
3.300000,-0.02440,0.26858,0.99701,0
3.400000,-0.02472,0.26866,0.96593,0
3.500000,-0.02472,0.26866,0.96593,0
3.600000,-0.02415,0.25566,0.99688,0
3.700000,-0.03873,0.25547,0.99680,0
3.800000,-0.00982,0.26877,0.99709,0
3.900000,-0.02440,0.26858,0.99701,0
4.000000,-0.02415,0.25566,0.99688,0
4.100000,-0.00982,0.26877,0.99709,0
4.200000,-0.02447,0.25574,0.96580,0
4.300000,-0.01014,0.26884,0.96601,0
4.400000,-0.02440,0.26858,0.99701,0
4.500000,-0.02440,0.26858,0.99701,0
4.600000,-0.02472,0.26866,0.96593,0
4.700000,-0.02415,0.25566,0.99688,0
