Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,256,256,256,256
maximum value,0.03312,0.32079,1.02964,1
minimum value,-0.02542,0.25638,0.90469,0
0.000000,0.00382,0.26931,0.90482,0
0.100000,0.00407,0.25638,0.90469,0
0.200000,0.01869,0.26942,0.93601,0
0.300000,0.01844,0.28235,0.93614,0
0.400000,0.00382,0.26931,0.90482,0
0.500000,0.00413,0.26924,0.93593,0
0.600000,0.00382,0.26931,0.90482,0
0.700000,0.00382,0.26931,0.90482,0
0.800000,0.00382,0.26931,0.90482,0
0.900000,0.00388,0.28216,0.93606,0
1.000000,0.00413,0.26924,0.93593,0
1.100000,0.00420,0.28209,0.96717,0
1.200000,-0.01042,0.26905,0.93585,0
1.300000,-0.01042,0.26905,0.93585,0
1.400000,0.00413,0.26924,0.93593,0
1.500000,0.00445,0.26916,0.96704,0
1.600000,0.00413,0.26924,0.93593,0
1.700000,0.00413,0.26924,0.93593,0
1.800000,0.00382,0.26931,0.90482,0
1.900000,0.01900,0.26935,0.96711,0
2.000000,0.00445,0.26916,0.96704,0
2.100000,0.00413,0.26924,0.93593,0
2.200000,0.01869,0.26942,0.93601,0
2.300000,0.01869,0.26942,0.93601,0
2.400000,0.00413,0.26924,0.93593,0
2.500000,0.00388,0.28216,0.93606,0
2.600000,-0.01036,0.28190,0.96709,0
2.700000,-0.01067,0.28198,0.93599,0
2.800000,0.00420,0.28209,0.96717,0
2.900000,0.00363,0.29509,0.93619,0
3.000000,0.00394,0.29502,0.96730,0
3.100000,0.00420,0.28209,0.96717,0
3.200000,0.00388,0.28216,0.93606,0
3.300000,0.00420,0.28209,0.96717,0
3.400000,-0.01061,0.29483,0.96722,0
3.500000,0.00401,0.30787,0.99854,0
3.600000,0.00363,0.29509,0.93619,0
3.700000,0.00426,0.29494,0.99840,0
3.800000,-0.01030,0.29475,0.99833,0
3.900000,0.00451,0.28202,0.99827,0
4.000000,0.00420,0.28209,0.96717,0
4.100000,0.01881,0.29513,0.99848,0
4.200000,0.00394,0.29502,0.96730,0
4.300000,0.00426,0.29494,0.99840,0
4.400000,0.01913,0.29506,1.02959,0
4.500000,-0.01080,0.32061,0.99859,0
4.600000,0.01856,0.30806,0.99861,0
4.700000,0.00401,0.30787,0.99854,0
4.800000,0.01856,0.30806,0.99861,0
4.900000,0.00432,0.30779,1.02964,0
