Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,394,394,394,394
maximum value,0.03304,0.20465,0.77856,1
minimum value,-0.02597,0.14031,0.62300,0
0.000000,0.00388,0.15342,0.68523,0
0.100000,0.00363,0.16634,0.68536,0
0.200000,0.00395,0.16626,0.71643,0
0.300000,0.00388,0.15342,0.68523,0
0.400000,-0.01070,0.15323,0.68515,0
0.500000,-0.01095,0.16615,0.68528,0
0.600000,0.00388,0.15342,0.68523,0
0.700000,-0.02528,0.15304,0.68507,0
0.800000,0.00363,0.16634,0.68536,0
0.900000,-0.01095,0.16615,0.68528,0
1.000000,0.00363,0.16634,0.68536,0
1.100000,0.00363,0.16634,0.68536,0
1.200000,0.00420,0.15334,0.71630,0
1.300000,0.00357,0.15349,0.65415,0
1.400000,0.00363,0.16634,0.68536,0
1.500000,0.00388,0.15342,0.68523,0
1.600000,-0.01070,0.15323,0.68515,0
1.700000,-0.01095,0.16615,0.68528,0
1.800000,0.00363,0.16634,0.68536,0
1.900000,0.00395,0.16626,0.71643,0
2.000000,0.00363,0.16634,0.68536,0
2.100000,-0.01126,0.16622,0.65421,0
2.200000,0.00363,0.16634,0.68536,0
2.300000,-0.01095,0.16615,0.68528,0
2.400000,-0.01095,0.16615,0.68528,0
2.500000,-0.01120,0.17907,0.68541,0
2.600000,0.00363,0.16634,0.68536,0
2.700000,0.00363,0.16634,0.68536,0
2.800000,0.00363,0.16634,0.68536,0
2.900000,0.00395,0.16626,0.71643,0
3.000000,-0.01095,0.16615,0.68528,0
3.100000,-0.01126,0.16622,0.65421,0
3.200000,-0.01095,0.16615,0.68528,0
3.300000,-0.01095,0.16615,0.68528,0
3.400000,0.00332,0.16641,0.65428,0
3.500000,-0.01095,0.16615,0.68528,0
3.600000,-0.02553,0.16596,0.68521,0
3.700000,-0.02553,0.16596,0.68521,0
3.800000,0.00363,0.16634,0.68536,0
3.900000,-0.02553,0.16596,0.68521,0
4.000000,-0.01063,0.16608,0.71636,0
4.100000,-0.01070,0.15323,0.68515,0
4.200000,-0.01095,0.16615,0.68528,0
4.300000,-0.02584,0.16603,0.65413,0
4.400000,-0.01126,0.16622,0.65421,0
4.500000,-0.02553,0.16596,0.68521,0
4.600000,-0.01095,0.16615,0.68528,0
4.700000,0.00388,0.15342,0.68523,0
4.800000,0.00363,0.16634,0.68536,0
