Test No.,
Title,
Tester,
Channel No.,1,2,3,4
Channel Name,Fx-1,Fy-1,Fz-1,Mark
Unit,N,N,N,
Number of data,624,624,624,624
maximum value,-0.04160,-0.00093,0.21695,0
minimum value,-0.11513,-0.04026,0.09265,0
0.000000,-0.05650,-0.01404,0.15494,0
0.100000,-0.05562,-0.02711,0.21695,0
0.200000,-0.05625,-0.02696,0.15480,0
0.300000,-0.07083,-0.02715,0.15473,0
0.400000,-0.07089,-0.03999,0.12352,0
0.500000,-0.05599,-0.03988,0.15467,0
0.600000,-0.05625,-0.02696,0.15480,0
0.700000,-0.05625,-0.02696,0.15480,0
0.800000,-0.05625,-0.02696,0.15480,0
0.900000,-0.05650,-0.01404,0.15494,0
1.000000,-0.05625,-0.02696,0.15480,0
1.100000,-0.05599,-0.03988,0.15467,0
1.200000,-0.07083,-0.02715,0.15473,0
1.300000,-0.05625,-0.02696,0.15480,0
1.400000,-0.05625,-0.02696,0.15480,0
1.500000,-0.04167,-0.02677,0.15488,0
1.600000,-0.07083,-0.02715,0.15473,0
1.700000,-0.08541,-0.02734,0.15465,0
1.800000,-0.05656,-0.02689,0.12373,0
1.900000,-0.07083,-0.02715,0.15473,0
2.000000,-0.04167,-0.02677,0.15488,0
2.100000,-0.05625,-0.02696,0.15480,0
2.200000,-0.07114,-0.02707,0.12365,0
2.300000,-0.07083,-0.02715,0.15473,0
2.400000,-0.05625,-0.02696,0.15480,0
2.500000,-0.07083,-0.02715,0.15473,0
2.600000,-0.04167,-0.02677,0.15488,0
2.700000,-0.07051,-0.02722,0.18580,0
2.800000,-0.07083,-0.02715,0.15473,0
2.900000,-0.07083,-0.02715,0.15473,0
3.000000,-0.07108,-0.01423,0.15486,0
3.100000,-0.07083,-0.02715,0.15473,0
3.200000,-0.07083,-0.02715,0.15473,0
3.300000,-0.07083,-0.02715,0.15473,0
3.400000,-0.07057,-0.04007,0.15459,0
3.500000,-0.07083,-0.02715,0.15473,0
3.600000,-0.07083,-0.02715,0.15473,0
3.700000,-0.05625,-0.02696,0.15480,0
3.800000,-0.07057,-0.04007,0.15459,0
3.900000,-0.07108,-0.01423,0.15486,0
4.000000,-0.07083,-0.02715,0.15473,0
4.100000,-0.07108,-0.01423,0.15486,0
4.200000,-0.07108,-0.01423,0.15486,0
4.300000,-0.07083,-0.02715,0.15473,0
4.400000,-0.05625,-0.02696,0.15480,0
4.500000,-0.05656,-0.02689,0.12373,0
